,Unnamed: 0,totalprice,unitprice,shoufu,structure,jianzhumianji,shiyongmianji,shijianratio,year,totalfloor,louceng,chaoxiang,zhuangxiu,zhuzhiaweizhi,dis,y1,y2,c1,c2,x1,x2,sqjuli,fsqjuli
0,0,1320.0,60000.0,396,"[u'4', u'2', u'1', u'3']",220.0,218.0,0.990909090909091,2005,31,2,8,4,"(24.47064, 118.09015)",思明区,18.0,58.0,36.0,22.0,53.0,29.0,"[2236.5400642746736, 2388.4928923462394, 5006.556326229209, 5838.628274664658, 5144.354853242806, 9516.662368201934, 7050.420194550452, 3324.718457596697, 3822.616816242102, 2084.170237873794, 2084.170237873794, 11439.4456226904, 6010.42960093188, 16327.30059705954, 26171.56523362117, 6229.5467827225275]","[709.9446601922301, 2215.6800300883774, 10459.255161866135, 10842.962473222055, 4711.419692917977]"
1,1,1400.0,75269.0,420,"[u'4', u'2', u'1', u'3']",186.0,185.0,0.9946236559139785,2010,30,2,None,5,"(24.46586, 118.09638)",思明区,21.0,63.0,11.0,17.0,11.0,31.0,"[2262.7008297673674, 1754.4752490767023, 4960.770297928858, 6652.870755295227, 4966.985919087453, 9181.280996925414, 6476.883938470259, 2908.5919500383193, 3388.87163071528, 1363.086749819441, 1363.086749819441, 11969.447670313313, 6738.061409213155, 16104.833951963994, 26625.056479863302, 7003.578251957186]","[1534.0503612208045, 2687.565103856439, 10227.124454687517, 10356.973264156677, 4621.217322491534]"
2,2,195.0,28261.0,58,"[u'2', u'2', u'1', u'1']",69.0,,None,2015,33,3,5,4,"(24.60455, 118.12297)",集美区,11.0,79.0,8.0,8.0,18.0,18.0,"[17335.513634801464, 15157.520767756487, 11481.905266059566, 14518.2807166875, 12066.055643835702, 12251.929105280153, 14876.95198575371, 14065.375842438738, 18978.58773089567, 15502.747985233053, 15502.747985233053, 4547.0077367895365, 16584.152787696843, 11957.84123954549, 11124.201774412804, 15814.746642981108]","[14877.312031802963, 12985.431855197698, 10912.954276548848, 14513.781358572998, 11890.32200280241]"
3,3,475.0,27778.0,142,"[u'4', u'2', u'1', u'3']",171.0,169.0,0.9883040935672515,2012,32,1,None,1,"(24.59373, 118.08922)",集美区,23.0,89.0,13.0,13.0,25.0,11.0,"[15583.455033149909, 14144.95618023118, 10959.17269449473, 11760.603071204345, 11688.514806718478, 13178.738824934444, 15009.564495001821, 13289.894495860983, 17452.48289795487, 14398.525353318053, 14398.525353318053, 2234.100639007094, 13855.364918665166, 14586.40111489534, 12793.295365590788, 13013.603899385213]","[13176.372724284047, 11494.720933510702, 12165.23526763904, 15601.557978367384, 11331.54093175304]"
4,4,430.0,33594.0,129,"[u'3', u'2', u'1', u'2']",128.0,126.0,0.984375,2012,32,1,None,1,"(24.59373, 118.08922)",集美区,23.0,89.0,13.0,13.0,25.0,11.0,"[15583.455033149909, 14144.95618023118, 10959.17269449473, 11760.603071204345, 11688.514806718478, 13178.738824934444, 15009.564495001821, 13289.894495860983, 17452.48289795487, 14398.525353318053, 14398.525353318053, 2234.100639007094, 13855.364918665166, 14586.40111489534, 12793.295365590788, 13013.603899385213]","[13176.372724284047, 11494.720933510702, 12165.23526763904, 15601.557978367384, 11331.54093175304]"
5,5,430.0,34127.0,129,"[u'4', u'2', u'1', u'2']",126.0,124.0,0.9841269841269841,2012,32,1,None,1,"(24.59373, 118.08922)",集美区,23.0,89.0,13.0,13.0,25.0,11.0,"[15583.455033149909, 14144.95618023118, 10959.17269449473, 11760.603071204345, 11688.514806718478, 13178.738824934444, 15009.564495001821, 13289.894495860983, 17452.48289795487, 14398.525353318053, 14398.525353318053, 2234.100639007094, 13855.364918665166, 14586.40111489534, 12793.295365590788, 13013.603899385213]","[13176.372724284047, 11494.720933510702, 12165.23526763904, 15601.557978367384, 11331.54093175304]"
6,6,165.0,28449.0,49,"[u'1', u'1', u'1', u'1']",58.0,57.0,0.9827586206896551,2015,45,2,5,4,"(24.48151, 118.04482)",海沧区,11.0,42.0,19.0,19.0,24.0,24.0,"[4639.7061366953485, 7124.876425915003, 8583.11898839988, 1809.4149156255266, 9048.902476251818, 13563.599538292608, 11658.523184876032, 7842.066247443641, 6683.0831026498145, 6833.301407616367, 6833.301407616367, 11342.265479394957, 1328.678981368626, 19839.87304746505, 25994.017311237756, 1525.4593809563598]","[4125.637313203657, 5195.70568231919, 14169.094675125292, 15234.2246297016, 8452.003868730804]"
7,7,109.0,18475.0,32,"[u'2', u'2', u'1', u'1']",59.0,,None,2012,17,3,None,4,"(24.63357, 118.14204)",同安区,56.0,25.0,5.0,5.0,15.0,15.0,"[20965.755218218776, 18567.81767581845, 14770.851580923825, 18260.296068393072, 15269.817129453462, 14633.016970880044, 17711.07049735315, 17397.692086632, 22532.80016671687, 18943.404828283597, 18943.404828283597, 8261.251992979473, 20330.161041593645, 12459.928944472793, 8136.794964844644, 19554.353167487232]","[18511.685801353287, 16584.663060641004, 13107.390535698349, 16654.239711134334, 15182.465180691841]"
8,8,270.0,30067.0,81,"[u'2', u'2', u'0', u'1']",89.0,88.0,0.9887640449438202,2014,41,3,None,4,"(24.55961, 118.0643)",集美区,23.0,66.0,13.0,13.0,24.0,24.0,"[11858.13491199769, 11309.41941689813, 9072.693422616803, 7304.772794931721, 9883.685599238044, 12833.333471761807, 13495.5334304035, 10809.236432804011, 13887.763025364733, 11438.025573883026, 11438.025573883026, 3320.8142143863483, 9391.609920208852, 16345.215700788483, 17170.209221684152, 8524.175320934166]","[9618.003410700067, 8312.082051857164, 12345.106206927845, 15238.742852234178, 9344.651282926065]"
9,9,246.0,30000.0,73,"[u'2', u'2', u'1', u'1']",82.0,,None,2015,33,2,None,1,"(24.60455, 118.12297)",集美区,11.0,79.0,8.0,8.0,18.0,18.0,"[17335.513634801464, 15157.520767756487, 11481.905266059566, 14518.2807166875, 12066.055643835702, 12251.929105280153, 14876.95198575371, 14065.375842438738, 18978.58773089567, 15502.747985233053, 15502.747985233053, 4547.0077367895365, 16584.152787696843, 11957.84123954549, 11124.201774412804, 15814.746642981108]","[14877.312031802963, 12985.431855197698, 10912.954276548848, 14513.781358572998, 11890.32200280241]"
10,10,580.0,48334.0,174,"[u'3', u'2', u'1', u'2']",120.0,119.0,0.9916666666666667,2000,7,3,None,3,"(24.47451, 118.08776)",思明区,14.0,58.0,35.0,20.0,58.0,28.0,"[2514.5447184217282, 2710.7839492785224, 4922.282889707876, 5418.056416387346, 5137.005776114823, 9578.503780991032, 7279.758774784157, 3493.60964332493, 4247.088454464527, 2465.0733927157257, 2465.0733927157257, 11020.241725016927, 5708.864595225524, 16304.687593969973, 25779.043628475083, 5872.284176810605]","[296.25146247747466, 1884.7444520191632, 10453.528636441346, 10999.926319131444, 4657.627771954518]"
11,11,280.0,37334.0,84,"[u'2', u'2', u'1', u'1']",75.0,74.0,0.9866666666666667,1985,7,2,None,2,"(24.48217, 118.09265)",思明区,14.0,71.0,37.0,21.0,66.0,28.0,"[3488.6513376654257, 2636.44653523636, 4037.5797530739073, 5547.390013872836, 4336.341984862315, 8835.418280394226, 6837.093536568232, 3024.5458535281537, 5114.14806020205, 2567.779916289476, 2567.779916289476, 10158.453766118057, 6173.1911211129145, 15447.889535231154, 24872.69086724154, 6197.8953207676395]","[1132.6078341187063, 915.8980352324143, 9623.697563289128, 10396.098964790064, 3807.916080410983]"
12,12,166.0,33108.0,49,"[u'1', u'1', u'1', u'1']",50.0,50.0,1.0,2008,18,1,None,4,"(24.46646, 118.02841)",海沧区,58.0,28.0,11.0,11.0,15.0,15.0,"[5302.844209462647, 8631.200900765734, 10679.266860403339, 3635.446191695778, 11064.036188625936, 15574.26717173302, 13326.443386551204, 9573.40148190848, 6938.5638376126035, 8252.85552025308, 8252.85552025308, 13586.34330529623, 1561.0886900824464, 22037.504451979352, 28109.57476237314, 2476.448213660163]","[5797.594096778273, 7260.294986757332, 16293.658569286603, 17081.515930880985, 10503.306710045345]"
13,13,305.0,24597.0,91,"[u'3', u'2', u'1', u'2']",124.0,123.0,0.9919354838709677,2014,27,2,None,5,"(24.60639, 118.24117)",翔安区,10.0,22.0,8.0,8.0,24.0,12.0,"[23627.35153578378, 20057.618635771683, 16452.525449766068, 23646.966418289336, 16443.193549386262, 13003.769104950557, 16788.195659807163, 18688.1159279206, 24401.800823537837, 20544.56795414811, 20544.56795414811, 15420.211215229036, 25404.545293070878, 6362.607806460167, 16183.716810638209, 24895.169833238295]","[21520.9906028011, 19611.402984724118, 11508.245980287827, 13603.884431431708, 16772.723071886976]"
14,14,568.0,44795.0,170,"[u'3', u'2', u'1', u'1']",126.0,125.0,0.9920634920634921,2002,35,3,4,5,"(24.47855, 118.08665)",思明区,11.0,54.0,36.0,19.0,59.0,26.0,"[2902.6214628678204, 2965.8596058230846, 4765.549026481752, 5120.97014072588, 5049.488634823307, 9535.818486689712, 7405.900246479614, 3591.2380620303356, 4697.2295913845155, 2779.2157636680668, 2779.2157636680668, 10579.704414228047, 5564.271369755427, 16174.788302061532, 25352.13804229729, 5659.160460366348]","[449.21875527251825, 1545.8377435666848, 10346.233256096146, 11045.284164638955, 4531.362510790695]"
15,15,930.0,62000.0,279,"[u'3', u'2', u'1', u'2']",150.0,149.0,0.9933333333333333,2009,29,3,None,4,"(24.47822, 118.18728)",思明区,16.0,48.0,15.0,15.0,32.0,13.0,"[11345.020943715392, 7562.053654689237, 6628.23751418503, 15028.583273616, 5873.749070993549, 3194.697434268281, 2839.44919343635, 6611.909399991853, 11062.751411089535, 7987.8325724223205, 7987.8325724223205, 14258.144272430962, 15763.793094713415, 8917.208874211387, 25942.6802972833, 15791.371661583247]","[10389.435610172444, 9425.217649874185, 4712.676576551305, 1619.5720591311108, 6520.182659681499]"
16,16,700.0,63212.0,210,"[u'3', u'2', u'1', u'1']",110.0,110.0,1.0,2008,37,3,4,3,"(24.4601, 118.08345)",思明区,21.0,48.0,30.0,15.0,16.0,28.0,"[886.3858521102704, 3172.0662368435983, 6306.7635252576265, 5999.133009672356, 6379.682252887626, 10638.096942482207, 7879.784614331171, 4366.462301000039, 2696.017816990569, 2728.5164535709964, 2728.5164535709964, 12641.042287540535, 5691.237950882925, 17543.133043008922, 27421.223425339347, 6103.746350602085]","[1638.9215227002394, 3530.3353295083666, 11665.939719723603, 11794.526313169881, 5991.495585242503]"
